Date,p (psia),Np (STB),Gp (SCF),Wp (STB),Gi (SCF),Wi (STB),Rp (SCF/STB)
01/03/2012,4891.4,45017300,36690200000,30483400,0,98079000,815.026
01/04/2012,4877.04,45398400,37028800000,31810000,0,99967500,815.642
01/05/2012,4850.5,45759800,37352800000,33213000,0,101898000,816.278
01/06/2012,4829.03,46090400,37650000000,34560600,0,103734000,816.874
01/07/2012,4812.21,46431000,37956200000,35970200,0,105656000,817.475
01/08/2012,4820.33,46567400,38075100000,36524000,0,106436000,817.634
01/09/2012,4856.73,46584200,38089400000,36570700,0,106525000,817.646
01/10/2012,4853.54,46921100,38381300000,37711500,0,107965000,817.996
01/11/2012,4798.57,47260400,38685500000,39108500,0,110047000,818.561
01/12/2012,4828.45,47552500,38954300000,40524800,0,111931000,819.185
01/01/2013,4821.63,47851800,39228100000,42031600,0,113916000,819.784
01/02/2013,4846.15,48113900,39464400000,43405400,0,115719000,820.229
01/03/2013,4859.34,48272000,39600700000,44208800,0,116868000,820.366
01/04/2013,4922.44,48493500,39804100000,45356000,0,118362000,820.813
01/05/2013,4893.72,48770100,40062600000,46970500,0,120422000,821.459
01/06/2013,4904.74,48985200,40264600000,48266000,0,122125000,821.975
01/07/2013,4941,49226600,40479800000,49566400,0,123790000,822.316
01/08/2013,4938.97,49618500,40816500000,51107000,0,125941000,822.606
01/09/2013,4935.05,49938400,41093900000,52358200,0,127649000,822.892
01/10/2013,4924.32,50321200,41424500000,53843800,0,129614000,823.201
01/11/2013,4918.96,50709900,41757000000,55293600,0,131651000,823.45
01/12/2013,4932.73,51062000,42063100000,56728400,0,133653000,823.765
01/01/2014,4979.58,51451300,42389900000,57974300,0,135457000,823.883
01/02/2014,4966.38,51809600,42692800000,59292400,0,137161000,824.034
01/03/2014,4931.43,52200500,43024600000,60754900,0,139190000,824.219
01/04/2014,4958.99,52679800,43424200000,62328100,0,141426000,824.305
01/05/2014,4881.39,53207000,43843900000,63544400,0,143386000,824.026
01/06/2014,4928.38,53707200,44259500000,65202300,0,145731000,824.088
01/07/2014,4919.1,54178800,44656400000,66869800,0,148097000,824.241
01/08/2014,4943.76,54489300,44927800000,68253700,0,150023000,824.525
01/09/2014,5003.66,54881700,45275300000,69914000,0,152290000,824.961
01/10/2014,5016.13,55287500,45629400000,71682300,0,154721000,825.312
01/11/2014,5032.08,55620300,45923100000,73159600,0,156691000,825.653
01/12/2014,5113.16,55735600,46031000000,73810600,0,157713000,825.881
01/01/2015,5114.9,56246600,46456200000,74612700,0,158958000,825.939
01/02/2015,5050.94,56663400,46812100000,75443000,0,160526000,826.143
01/03/2015,5087.2,57177500,47239200000,76436800,0,162192000,826.185
01/04/2015,5052.1,57744900,47706100000,77418500,0,164020000,826.152
01/05/2015,5016.71,58292500,48156900000,78418600,0,165679000,826.125
01/06/2015,4983.93,58819800,48592600000,79494100,0,167613000,826.127
01/07/2015,5024.98,59285200,48983100000,80610700,0,169335000,826.228
01/08/2015,4992.63,59639300,49285600000,81555900,0,170769000,826.395
01/09/2015,4992.05,60036100,49623500000,82661200,0,172417000,826.56
01/10/2015,4985.67,60398900,49935400000,83863800,0,174116000,826.761
01/11/2015,5017.29,60779200,50264000000,85154400,0,175972000,826.993
01/12/2015,5023.38,61155400,50589200000,86451000,0,177849000,827.224
01/01/2016,5039.77,61479800,50875900000,87845900,0,179739000,827.522
01/02/2016,5036,61777700,51141000000,89167000,0,181703000,827.823
01/03/2016,5098.37,62046900,51385900000,90636900,0,183470000,828.178
01/04/2016,5070.37,62250100,51573600000,91891600,0,184981000,828.49
01/05/2016,5122.26,62495600,51792100000,93205800,0,186675000,828.733
01/06/2016,5187.3,62719800,51995800000,94479100,0,188293000,829.017
01/07/2016,5233.98,62915200,52172900000,95413400,0,189538000,829.258
01/08/2016,5273.87,63072100,52314600000,96049100,0,190371000,829.441
01/09/2016,4987.97,63126300,52366400000,96343300,0,190756000,829.55
01/10/2016,4815.37,63126300,52366400000,96343300,0,190756000,829.55
01/11/2016,4815.37,63126300,52366400000,96343300,0,190756000,829.55
01/12/2016,4815.37,63126300,52366400000,96343300,0,190756000,829.55
