DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE
24/07/2014,15/9-F-1 C,24.00,215.378,108.182
25/07/2014,15/9-F-1 C,24.00,215.526,108.183
26/07/2014,15/9-F-1 C,24.00,215.614,108.183
27/07/2014,15/9-F-1 C,24.00,215.844,108.183
28/07/2014,15/9-F-1 C,24.00,216.087,108.183
29/07/2014,15/9-F-1 C,24.00,215.966,108.191
30/07/2014,15/9-F-1 C,24.00,214.626,108.233
31/07/2014,15/9-F-1 C,24.00,215.092,108.220
01/08/2014,15/9-F-1 C,24.00,215.027,108.221
02/08/2014,15/9-F-1 C,24.00,215.155,108.217
03/08/2014,15/9-F-1 C,24.00,215.130,108.217
04/08/2014,15/9-F-1 C,24.00,212.895,108.262
05/08/2014,15/9-F-1 C,24.00,210.167,108.325
06/08/2014,15/9-F-1 C,24.00,209.823,108.321
07/08/2014,15/9-F-1 C,24.00,210.094,108.307
08/08/2014,15/9-F-1 C,24.00,210.184,108.297
09/08/2014,15/9-F-1 C,24.00,210.545,108.283
10/08/2014,15/9-F-1 C,24.00,210.631,108.281
11/08/2014,15/9-F-1 C,24.00,213.448,108.171
12/08/2014,15/9-F-1 C,24.00,215.506,108.138
13/08/2014,15/9-F-1 C,24.00,215.895,108.159
14/08/2014,15/9-F-1 C,24.00,215.855,108.189
15/08/2014,15/9-F-1 C,24.00,215.777,108.204
16/08/2014,15/9-F-1 C,24.00,216.002,108.202
17/08/2014,15/9-F-1 C,24.00,216.016,108.211
18/08/2014,15/9-F-1 C,24.00,216.082,108.215
19/08/2014,15/9-F-1 C,0.99,217.065,108.215
20/08/2014,15/9-F-1 C,0.00,242.944,103.647
21/08/2014,15/9-F-1 C,0.00,234.107,104.129
22/08/2014,15/9-F-1 C,0.00,234.107,104.129
23/08/2014,15/9-F-1 C,0.00,234.107,104.129
24/08/2014,15/9-F-1 C,0.00,234.107,104.129
25/08/2014,15/9-F-1 C,0.00,266.286,101.806
26/08/2014,15/9-F-1 C,0.00,268.533,101.253
27/08/2014,15/9-F-1 C,0.00,271.096,101.206
28/08/2014,15/9-F-1 C,0.00,266.151,98.061
29/08/2014,15/9-F-1 C,0.00,276.538,101.183
30/08/2014,15/9-F-1 C,0.00,279.004,101.128
31/08/2014,15/9-F-1 C,0.00,281.008,101.032
01/09/2014,15/9-F-1 C,0.00,282.916,100.949
02/09/2014,15/9-F-1 C,3.88,284.441,100.737
03/09/2014,15/9-F-1 C,19.17,248.024,106.953
04/09/2014,15/9-F-1 C,24.00,237.287,107.370
05/09/2014,15/9-F-1 C,24.00,223.510,108.490
06/09/2014,15/9-F-1 C,24.00,225.251,108.443
07/09/2014,15/9-F-1 C,24.00,225.938,108.428
08/09/2014,15/9-F-1 C,24.00,224.929,108.435
09/09/2014,15/9-F-1 C,24.00,224.676,108.408
10/09/2014,15/9-F-1 C,24.00,224.654,108.388
11/09/2014,15/9-F-1 C,24.00,225.961,108.339
12/09/2014,15/9-F-1 C,24.00,225.609,108.329
13/09/2014,15/9-F-1 C,24.00,225.300,108.320
14/09/2014,15/9-F-1 C,24.00,225.149,108.315
15/09/2014,15/9-F-1 C,24.00,224.943,108.308
16/09/2014,15/9-F-1 C,24.00,224.805,108.301
17/09/2014,15/9-F-1 C,24.00,224.625,108.298
18/09/2014,15/9-F-1 C,24.00,224.549,108.290
19/09/2014,15/9-F-1 C,24.00,224.559,108.282
20/09/2014,15/9-F-1 C,24.00,221.863,108.331
21/09/2014,15/9-F-1 C,24.00,219.555,108.391
22/09/2014,15/9-F-1 C,24.00,219.888,108.362
23/09/2014,15/9-F-1 C,24.00,219.715,108.354
24/09/2014,15/9-F-1 C,24.00,219.833,108.346
25/09/2014,15/9-F-1 C,24.00,220.009,108.335
26/09/2014,15/9-F-1 C,24.00,219.967,108.331
27/09/2014,15/9-F-1 C,24.00,219.897,108.327
28/09/2014,15/9-F-1 C,23.09,220.042,108.321
29/09/2014,15/9-F-1 C,0.00,243.074,105.065
30/09/2014,15/9-F-1 C,8.17,241.919,105.526
01/10/2014,15/9-F-1 C,24.00,226.032,107.481
02/10/2014,15/9-F-1 C,24.00,211.873,108.502
03/10/2014,15/9-F-1 C,24.00,221.135,108.404
04/10/2014,15/9-F-1 C,24.00,219.880,108.432
05/10/2014,15/9-F-1 C,24.00,219.474,108.438
06/10/2014,15/9-F-1 C,24.00,220.902,108.399
07/10/2014,15/9-F-1 C,24.00,220.653,108.402
08/10/2014,15/9-F-1 C,24.00,220.669,108.396
09/10/2014,15/9-F-1 C,24.00,220.467,108.396
10/10/2014,15/9-F-1 C,24.00,220.178,108.394
11/10/2014,15/9-F-1 C,24.00,220.156,108.388
12/10/2014,15/9-F-1 C,24.00,220.145,108.382
13/10/2014,15/9-F-1 C,24.00,220.325,108.373
14/10/2014,15/9-F-1 C,24.00,220.439,108.367
15/10/2014,15/9-F-1 C,24.00,220.219,108.368
16/10/2014,15/9-F-1 C,24.00,220.012,108.371
17/10/2014,15/9-F-1 C,24.00,220.213,108.363
18/10/2014,15/9-F-1 C,24.00,220.225,108.360
19/10/2014,15/9-F-1 C,24.00,220.223,108.358
20/10/2014,15/9-F-1 C,24.00,220.721,108.347
21/10/2014,15/9-F-1 C,24.00,220.412,108.351
22/10/2014,15/9-F-1 C,24.00,220.624,108.345
23/10/2014,15/9-F-1 C,24.00,220.618,108.344
24/10/2014,15/9-F-1 C,24.00,220.745,108.341
25/10/2014,15/9-F-1 C,24.00,220.862,108.338
26/10/2014,15/9-F-1 C,25.00,220.958,108.336
27/10/2014,15/9-F-1 C,24.00,219.964,108.360
28/10/2014,15/9-F-1 C,24.00,219.961,108.364
29/10/2014,15/9-F-1 C,24.00,220.718,108.345
30/10/2014,15/9-F-1 C,24.00,221.120,108.333
31/10/2014,15/9-F-1 C,24.00,219.495,108.372
01/11/2014,15/9-F-1 C,24.00,219.785,108.362
02/11/2014,15/9-F-1 C,24.00,220.066,108.353
03/11/2014,15/9-F-1 C,24.00,220.343,108.345
04/11/2014,15/9-F-1 C,24.00,220.487,108.341
05/11/2014,15/9-F-1 C,24.00,221.788,108.303
06/11/2014,15/9-F-1 C,24.00,221.686,108.294
07/11/2014,15/9-F-1 C,24.00,220.011,108.358
08/11/2014,15/9-F-1 C,24.00,219.993,108.357
09/11/2014,15/9-F-1 C,24.00,220.479,108.343
10/11/2014,15/9-F-1 C,24.00,222.466,108.289
11/11/2014,15/9-F-1 C,24.00,219.979,108.352
12/11/2014,15/9-F-1 C,24.00,219.184,108.379
13/11/2014,15/9-F-1 C,24.00,220.275,108.350
14/11/2014,15/9-F-1 C,24.00,220.879,108.328
15/11/2014,15/9-F-1 C,24.00,220.069,108.353
16/11/2014,15/9-F-1 C,24.00,221.136,108.320
17/11/2014,15/9-F-1 C,24.00,222.146,108.280
18/11/2014,15/9-F-1 C,24.00,220.412,108.351
19/11/2014,15/9-F-1 C,24.00,221.504,108.309
20/11/2014,15/9-F-1 C,24.00,220.000,108.343
21/11/2014,15/9-F-1 C,24.00,220.101,108.332
22/11/2014,15/9-F-1 C,24.00,219.919,108.327
23/11/2014,15/9-F-1 C,24.00,221.057,108.185
24/11/2014,15/9-F-1 C,15.78,229.950,107.679
25/11/2014,15/9-F-1 C,0.00,244.406,104.076
26/11/2014,15/9-F-1 C,0.00,246.393,102.491
27/11/2014,15/9-F-1 C,0.00,252.373,102.350
28/11/2014,15/9-F-1 C,0.00,264.578,102.348
29/11/2014,15/9-F-1 C,0.00,268.789,102.093
30/11/2014,15/9-F-1 C,12.00,247.358,105.829
01/12/2014,15/9-F-1 C,13.50,255.410,105.648
02/12/2014,15/9-F-1 C,0.00,261.053,102.630
03/12/2014,15/9-F-1 C,0.00,262.684,101.829
04/12/2014,15/9-F-1 C,0.00,264.249,102.946
05/12/2014,15/9-F-1 C,14.00,257.446,107.889
06/12/2014,15/9-F-1 C,0.00,269.998,103.164
