Date,p (psia),Np (STB),Gp (SCF),Wp (STB),Gi (SCF),Wi (STB),Rp (SCF/STB),Bo (RB/STB),Bg (RB/SCF),Rs (SCF/STB),Rv (STB/SCF)
2007-09-01,4780.59,0,0,0.0,0,0,0.0,1.3049021677799575,0.0009622657994697725,627.7110850725221,0.0
2007-10-01,4780.59,0,0,0.0,0,0,0.0,1.3049021677799575,0.0009622657994697725,627.7110850725221,0.0
2007-11-01,4780.59,0,0,0.0,0,0,0.0,1.3049021677799575,0.0009622657994697725,627.7110850725221,0.0
2007-12-01,4780.59,0,0,0.0,0,0,0.0,1.3049021677799575,0.0009622657994697725,627.7110850725221,0.0
2008-01-01,4780.59,0,0,0.0,0,0,0.0,1.3049021677799575,0.0009622657994697725,627.7110850725221,0.0
2008-02-01,4725.76,308749,250870000,2595.03,0,0,812.5369999999999,1.3057969346179903,0.0009704994663642187,627.7110850725221,0.0
2008-03-01,4521.7,833031,683581000,2767.48,0,0,820.595,1.3091926043482818,0.0010030764223294623,627.7110850725221,0.0
2008-04-01,4297.32,1301790,1091990000,5799.25,0,187124,838.837,1.3130712382128977,0.0010430438731091527,627.7110850725221,0.0
2008-05-01,4353.89,2090960,1769630000,108190.0,0,1579180,846.324,1.312078341294961,0.0010324713016951485,627.7110850725221,0.0
2008-06-01,4359.69,2995280,2533180000,111174.0,0,2911280,845.7239999999999,1.3119766332314742,0.0010314070377495923,627.7110850725221,0.0
2008-07-01,4362.3,4041070,3408290000,113791.0,0,4370580,843.413,1.311930853328846,0.0010309293199566084,627.7110850725221,0.0
2008-08-01,4309.95,5081590,4257410000,117418.0,0,5807020,837.811,1.312849213233436,0.0010406532420389083,627.7110850725221,0.0
2008-09-01,4231.05,6290800,5234430000,120337.0,0,6834680,832.077,1.3142413278730685,0.0010558697797863079,627.7110850725221,0.0
2008-10-01,4085.44,7782460,6432630000,124899.0,0,9072140,826.555,1.3168637782668002,0.0010856996507735456,627.7110850725221,0.0
2008-11-01,4170.56,9356850,7701280000,141126.0,0,11851400,823.063,1.3153230465352104,0.0010679874990428492,627.7110850725221,0.0
2008-12-01,4393.15,11096700,9123270000,147855.0,0,15206100,822.1610000000001,1.3113919465531652,0.001025339119091833,627.7110850725221,0.0
2009-01-01,4596.89,12790100,10506600000,156456.0,0,18352800,821.466,1.3079341898195143,0.0009907207629944422,627.7110850725221,0.0
2009-02-01,4780.59,14273000,11702100000,172363.0,0,21165600,819.872,1.3049021677799575,0.0009622657994697725,627.7110850725221,0.0
2009-03-01,4786.1,15427800,12618700000,182918.0,0,22064000,817.92,1.304813205312055,0.0009614509596742069,627.7110850725221,0.0
2009-04-01,4360.85,16924000,13784900000,192306.0,0,23393500,814.5219999999999,1.311956287464381,0.0010311946266644886,627.7110850725221,0.0
2009-05-01,4303.85,18541700,15038300000,233479.0,0,26310700,811.053,1.3129564152038724,0.0010418057030903405,627.7110850725221,0.0
2009-06-01,4297.32,19919600,16100600000,286245.0,0,27966000,808.28,1.3130712382128977,0.0010430438731091527,627.7110850725221,0.0
2009-07-01,4242.21,20994900,16947100000,349529.0,0,30460800,807.202,1.314043565631225,0.0010536768092536592,627.7110850725221,0.0
2009-08-01,4450.77,22409400,18059500000,511905.0,0,32916100,805.89,1.3103977691030628,0.0010151651441712482,627.7110850725221,0.0
2009-09-01,4565.79,23544300,18951100000,622031.0,0,35026500,804.91,1.3084531973496345,0.0009957786158006601,627.7110850725221,0.0
2009-10-01,4635.26,24950900,20064700000,829024.0,0,37435100,804.168,1.3072955415041032,0.000984575526391779,627.7110850725221,0.0
2009-11-01,4657.89,26423000,21236100000,1145400.0,0,40031300,803.7,1.3069196949906094,0.0009810001071732684,627.7110850725221,0.0
2009-12-01,4646.14,27979700,22468300000,1607630.0,0,42830000,803.0210000000001,1.3071147612894574,0.0009828519748438284,627.7110850725221,0.0
2010-01-01,4622.35,29438000,23625600000,2238030.0,0,45812600,802.552,1.307510237718,0.0009866315731591844,627.7110850725221,0.0
2010-02-01,4694.73,30476500,24451600000,2899770.0,0,48234100,802.308,1.3063093409958464,0.000975258528327146,627.7110850725221,0.0
2010-03-01,4640.34,31536600,25292800000,3645420.0,0,50302700,802.012,1.3072111147723005,0.0009837697297822249,627.7110850725221,0.0
2010-04-01,4587.4,32538500,26089600000,4512480.0,0,52603400,801.808,1.3080923966538784,0.000992256655414422,627.7110850725221,0.0
2010-05-01,4714.02,33575700,26922300000,5517220.0,0,55777800,801.8380000000001,1.3059905726493075,0.0009722916692545457,627.7110850725221,0.0
2010-06-01,4858.76,34487200,27657100000,6648340.0,0,58471900,801.951,1.3036548616573551,0.0009509237755589068,627.7110850725221,0.0
2010-07-01,4865.0,35327700,28344100000,7882750.0,0,61062200,802.319,1.303556473671449,0.000950038328931515,627.7110850725221,0.0
2010-08-01,4878.34,35758700,28695100000,8582380.0,0,62502100,802.465,1.303346096864773,0.0009481549182440554,627.7110850725221,0.0
2010-09-01,4881.97,36429900,29263400000,9563100.0,0,64442000,803.28,1.3032887780054603,0.0009476446361283651,627.7110850725221,0.0
2010-10-01,4907.5,37248700,29958900000,10824100.0,0,66928700,804.295,1.3028836951104956,0.0009440820947736763,627.7110850725221,0.0
2010-11-01,4854.41,37921800,30535100000,12076900.0,0,69167100,805.212,1.303723494810309,0.0009515427306326389,627.7110850725221,0.0
